held_out_source,inner_validation_source,seed,lambda,campaign_macro_ndcg5,five_seed_two_source_mean_ndcg5,selected,validation_rows
attack_flow,ctid,46,0.9,0.19427925702024187,0.18419386758119152,0,263
attack_flow,ctid,46,1.0,0.19427925702024187,0.18419386758119152,0,263
attack_flow,stockpile,42,0.0,0.15578535298008467,0.12909526090771803,0,109
attack_flow,stockpile,42,0.1,0.15065593652702847,0.1404837172531744,0,109
attack_flow,stockpile,42,0.2,0.1466478359171686,0.14278786460537352,0,109
attack_flow,stockpile,42,0.3,0.17157576374828543,0.16763715041901942,0,109
attack_flow,stockpile,42,0.4,0.18863639200991994,0.17437202193715273,0,109
attack_flow,stockpile,42,0.5,0.19644130879249525,0.1790772237935537,0,109
attack_flow,stockpile,42,0.6,0.1943708019701368,0.18640217528850447,1,109
attack_flow,stockpile,42,0.7,0.17489139962913997,0.1809194861830286,0,109
attack_flow,stockpile,42,0.8,0.17415134545343272,0.1836301084293418,0,109
attack_flow,stockpile,42,0.9,0.17410847814214114,0.18419386758119152,0,109
attack_flow,stockpile,42,1.0,0.17410847814214114,0.18419386758119152,0,109
attack_flow,stockpile,43,0.0,0.15522652646444274,0.12909526090771803,0,109
attack_flow,stockpile,43,0.1,0.15141791713856265,0.1404837172531744,0,109
attack_flow,stockpile,43,0.2,0.1408458206484463,0.14278786460537352,0,109
attack_flow,stockpile,43,0.3,0.18582901625186002,0.16763715041901942,0,109
attack_flow,stockpile,43,0.4,0.18752105351395235,0.17437202193715273,0,109
attack_flow,stockpile,43,0.5,0.19145798237727568,0.1790772237935537,0,109
attack_flow,stockpile,43,0.6,0.19392996104902074,0.18640217528850447,1,109
attack_flow,stockpile,43,0.7,0.17489139962913997,0.1809194861830286,0,109
attack_flow,stockpile,43,0.8,0.17415134545343272,0.1836301084293418,0,109
attack_flow,stockpile,43,0.9,0.17410847814214114,0.18419386758119152,0,109
attack_flow,stockpile,43,1.0,0.17410847814214114,0.18419386758119152,0,109
attack_flow,stockpile,44,0.0,0.15274960061987297,0.12909526090771803,0,109
attack_flow,stockpile,44,0.1,0.13736732467940385,0.1404837172531744,0,109
attack_flow,stockpile,44,0.2,0.14189742870751398,0.14278786460537352,0,109
attack_flow,stockpile,44,0.3,0.17271171359763957,0.16763715041901942,0,109
attack_flow,stockpile,44,0.4,0.18749721433795014,0.17437202193715273,0,109
attack_flow,stockpile,44,0.5,0.1915645383292975,0.1790772237935537,0,109
attack_flow,stockpile,44,0.6,0.1943708019701368,0.18640217528850447,1,109
attack_flow,stockpile,44,0.7,0.17489139962913997,0.1809194861830286,0,109
attack_flow,stockpile,44,0.8,0.17415134545343272,0.1836301084293418,0,109
attack_flow,stockpile,44,0.9,0.17410847814214114,0.18419386758119152,0,109
attack_flow,stockpile,44,1.0,0.17410847814214114,0.18419386758119152,0,109
attack_flow,stockpile,45,0.0,0.14935949719207245,0.12909526090771803,0,109
attack_flow,stockpile,45,0.1,0.1406813410758886,0.1404837172531744,0,109
attack_flow,stockpile,45,0.2,0.14024474404989432,0.14278786460537352,0,109
attack_flow,stockpile,45,0.3,0.17025778628368057,0.16763715041901942,0,109
