comparison,metric,omitted_campaign,campaigns_remaining,full_effect,leave_one_out_effect
B0-K,hit5,fin7::unknown,9,0.08434815512051247,0.07983128346723607
B0-K,hit5,menu_pass::unknown,9,0.08434815512051247,0.08260906124501385
B0-K,hit5,oilrig::unknown,9,0.08434815512051247,0.06514874378469639
B0-K,hit5,sandworm::unknown,9,0.08434815512051247,0.10088863113748697
B0-K,hit5,turla_carbon::unknown,9,0.08434815512051247,0.07922741873293655
B0-K,hit5,turla_snake::unknown,9,0.08434815512051247,0.09799367662962924
B0-K,hit5,wizard_spider::unknown,9,0.08434815512051247,0.09719239457834719
B0-K,precision5,apt29::unknown,9,0.03902945585454628,0.043366062060606975
B0-K,precision5,carbanak::unknown,9,0.03902945585454628,0.039857290130782416
B0-K,precision5,fin6::unknown,9,0.03902945585454628,0.03225495094949587
B0-K,precision5,fin7::unknown,9,0.03902945585454628,0.037810506505051425
B0-K,precision5,menu_pass::unknown,9,0.03902945585454628,0.04114383983838475
B0-K,precision5,oilrig::unknown,9,0.03902945585454628,0.030032728727273646
B0-K,precision5,sandworm::unknown,9,0.03902945585454628,0.04408290793874318
B0-K,precision5,turla_carbon::unknown,9,0.03902945585454628,0.039501327761090076
B0-K,precision5,turla_snake::unknown,9,0.03902945585454628,0.04165666035120527
B0-K,precision5,wizard_spider::unknown,9,0.03902945585454628,0.04058828428282921
B0-K,recall5,apt29::unknown,9,0.06896593507314515,0.07662881674793905
B0-K,recall5,carbanak::unknown,9,0.06896593507314515,0.07078086353156479
B0-K,recall5,fin6::unknown,9,0.06896593507314515,0.05695289082201313
B0-K,recall5,fin7::unknown,9,0.06896593507314515,0.0673695574886798
B0-K,recall5,menu_pass::unknown,9,0.06896593507314515,0.07292511304423535
B0-K,recall5,oilrig::unknown,9,0.06896593507314515,0.054406594525716834
B0-K,recall5,sandworm::unknown,9,0.06896593507314515,0.07543407361771205
B0-K,recall5,turla_carbon::unknown,9,0.06896593507314515,0.06938243993634485
B0-K,recall5,turla_snake::unknown,9,0.06896593507314515,0.07377981389893622
B0-K,recall5,wizard_spider::unknown,9,0.06896593507314515,0.07199918711830944
B0-T,ndcg5,apt29::unknown,9,0.0383467812269547,0.042107298659729314
B0-T,ndcg5,carbanak::unknown,9,0.0383467812269547,0.04237270429232471
B0-T,ndcg5,fin6::unknown,9,0.0383467812269547,0.02712183691629637
B0-T,ndcg5,fin7::unknown,9,0.0383467812269547,0.036375407306900205
B0-T,ndcg5,menu_pass::unknown,9,0.0383467812269547,0.040321658790308315
B0-T,ndcg5,oilrig::unknown,9,0.0383467812269547,0.03629337930443455
B0-T,ndcg5,sandworm::unknown,9,0.0383467812269547,0.03972493747177194
B0-T,ndcg5,turla_carbon::unknown,9,0.0383467812269547,0.04173363868647803
B0-T,ndcg5,turla_snake::unknown,9,0.0383467812269547,0.03982267934490191
B0-T,ndcg5,wizard_spider::unknown,9,0.0383467812269547,0.03759427149640168
B0-T,hit5,apt29::unknown,9,0.031783453355941724,0.03178761131259839
B0-T,hit5,carbanak::unknown,9,0.031783453355941724,0.041162901389642854
B0-T,hit5,fin6::unknown,9,0.031783453355941724,0.021426059284379698
B0-T,hit5,fin7::unknown,9,0.031783453355941724,0.035314948173268586
B0-T,hit5,menu_pass::unknown,9,0.031783453355941724,0.035314948173268586
B0-T,hit5,oilrig::unknown,9,0.031783453355941724,0.01626732912564953
B0-T,hit5,sandworm::unknown,9,0.031783453355941724,0.03173071878258758
B0-T,hit5,turla_carbon::unknown,9,0.031783453355941724,0.02565311242447632
B0-T,hit5,turla_snake::unknown,9,0.031783453355941724,0.04386195672027713
B0-T,hit5,wizard_spider::unknown,9,0.031783453355941724,0.035314948173268586
B0-T,precision5,apt29::unknown,9,0.028043134997922037,0.030100837828378985
B0-T,precision5,carbanak::unknown,9,0.028043134997922037,0.02998944824330519
B0-T,precision5,fin6::unknown,9,0.028043134997922037,0.0242145944421356
B0-T,precision5,fin7::unknown,9,0.028043134997922037,0.028381261108802267
B0-T,precision5,menu_pass::unknown,9,0.028043134997922037,0.031159038886580042
B0-T,precision5,oilrig::unknown,9,0.028043134997922037,0.01909554682308798
B0-T,precision5,sandworm::unknown,9,0.028043134997922037,0.028291655374035243
B0-T,precision5,turla_carbon::unknown,9,0.028043134997922037,0.03019285531170082
B0-T,precision5,turla_snake::unknown,9,0.028043134997922037,0.0320137397412809
B0-T,precision5,wizard_spider::unknown,9,0.028043134997922037,0.026992372219913376
B0-T,recall5,apt29::unknown,9,0.04378475525138532,0.04659211488837051
B0-T,recall5,carbanak::unknown,9,0.04378475525138532,0.05059904579588622
B0-T,recall5,fin6::unknown,9,0.04378475525138532,0.038233061390428126
B0-T,recall5,fin7::unknown,9,0.04378475525138532,0.04402009842746516
B0-T,recall5,menu_pass::unknown,9,0.04378475525138532,0.0486497280570948
B0-T,recall5,oilrig::unknown,9,0.04378475525138532,0.03118941059677733
B0-T,recall5,sandworm::unknown,9,0.04378475525138532,0.041481269275732785
B0-T,recall5,turla_carbon::unknown,9,0.04378475525138532,0.04703942209896275
B0-T,recall5,turla_snake::unknown,9,0.04378475525138532,0.05007422948159621
B0-T,recall5,wizard_spider::unknown,9,0.04378475525138532,0.03996917250153924
B0-HM,ndcg5,apt29::unknown,9,0.07407367777437007,0.08583874021254803
B0-HM,ndcg5,carbanak::unknown,9,0.07407367777437007,0.07323343185452819
B0-HM,ndcg5,fin6::unknown,9,0.07407367777437007,0.07471750540820082
B0-HM,ndcg5,fin7::unknown,9,0.07407367777437007,0.07578632633231736
B0-HM,ndcg5,menu_pass::unknown,9,0.07407367777437007,0.0776360343308649
B0-HM,ndcg5,oilrig::unknown,9,0.07407367777437007,0.06658613231476952
B0-HM,ndcg5,sandworm::unknown,9,0.07407367777437007,0.06984150263958534
B0-HM,ndcg5,turla_carbon::unknown,9,0.07407367777437007,0.07262086910357896
B0-HM,ndcg5,turla_snake::unknown,9,0.07407367777437007,0.07799991128863835
B0-HM,ndcg5,wizard_spider::unknown,9,0.07407367777437007,0.06647632425866926
B0-HM,hit5,apt29::unknown,9,0.08512256081414382,0.10375169896456897
B0-HM,hit5,carbanak::unknown,9,0.08512256081414382,0.07469758219115394
B0-HM,hit5,fin6::unknown,9,0.08512256081414382,0.10152506757127092
B0-HM,hit5,fin7::unknown,9,0.08512256081414382,0.09458062312682647
B0-HM,hit5,menu_pass::unknown,9,0.08512256081414382,0.08346951201571534
B0-HM,hit5,oilrig::unknown,9,0.08512256081414382,0.06473935328555662
B0-HM,hit5,sandworm::unknown,9,0.08512256081414382,0.08454478083291966
B0-HM,hit5,turla_carbon::unknown,9,0.08512256081414382,0.06656129945532888
B0-HM,hit5,turla_snake::unknown,9,0.08512256081414382,0.10569173423793757
B0-HM,hit5,wizard_spider::unknown,9,0.08512256081414382,0.0716639564601598
B0-HM,precision5,apt29::unknown,9,0.04118253944594648,0.047592592329711254
B0-HM,precision5,carbanak::unknown,9,0.04118253944594648,0.038272997045203684
B0-HM,precision5,fin6::unknown,9,0.04118253944594648,0.043258377162162756
