held_out_source,inner_validation_source,tactic_lambda,b0_lambda,campaign_macro_ndcg5,two_source_mean_ndcg5,selected,training_rows,validation_rows
ctid,stockpile,0.1,0.4,0.19874246709301088,0.19716648531917602,0,412,109
ctid,stockpile,0.2,0.4,0.19840027557929235,0.19567291086892286,0,412,109
ctid,stockpile,0.3,0.4,0.1961573606801595,0.19439534383576484,0,412,109
ctid,stockpile,0.4,0.4,0.18326938133615403,0.18846278022852903,0,412,109
ctid,stockpile,0.5,0.4,0.19213007426373,0.193295241964003,0,412,109
ctid,stockpile,0.6,0.4,0.19274683650198557,0.19770215865657242,0,412,109
ctid,stockpile,0.7,0.4,0.19354611308786066,0.19981513113748794,0,412,109
ctid,stockpile,0.8,0.4,0.1865570727888519,0.19674323649401249,0,412,109
ctid,stockpile,0.9,0.4,0.17354371382877826,0.19272690830668104,0,412,109
ctid,stockpile,1.0,0.4,0.1671815198474006,0.1888654033409362,0,412,109
ctid,stockpile,0.0,0.5,0.18038114458704213,0.19340599412652482,0,412,109
ctid,stockpile,0.1,0.5,0.17286809832622335,0.18891737201663866,0,412,109
ctid,stockpile,0.2,0.5,0.17246214562009962,0.18843476537013143,0,412,109
ctid,stockpile,0.3,0.5,0.17307036932168385,0.19076787954137742,0,412,109
ctid,stockpile,0.4,0.5,0.1766049655277178,0.19473074843442312,0,412,109
ctid,stockpile,0.5,0.5,0.18889825376420408,0.20139473995507248,0,412,109
ctid,stockpile,0.6,0.5,0.18948661612603743,0.20331679926547624,0,412,109
ctid,stockpile,0.7,0.5,0.17877499499717578,0.19837339565375156,0,412,109
ctid,stockpile,0.8,0.5,0.1741421831294968,0.19770825035138262,0,412,109
ctid,stockpile,0.9,0.5,0.17423486693721998,0.19809965773674254,0,412,109
ctid,stockpile,1.0,0.5,0.17465510256809347,0.19772310936005014,0,412,109
ctid,stockpile,0.0,0.6,0.1746572975136209,0.20091218185126408,0,412,109
ctid,stockpile,0.1,0.6,0.17423706188274743,0.19881655744898488,0,412,109
ctid,stockpile,0.2,0.6,0.17421915274669134,0.19913468218264438,0,412,109
ctid,stockpile,0.3,0.6,0.17421915274669134,0.19904922110169798,0,412,109
ctid,stockpile,0.4,0.6,0.17421915274669134,0.19920165727043165,0,412,109
ctid,stockpile,0.5,0.6,0.17434431342485915,0.198981657948466,0,412,109
ctid,stockpile,0.6,0.6,0.17498297072294253,0.20068036784267362,0,412,109
