method,held_out_source,inner_validation_source,seed,epoch,lambda,campaign_macro_ndcg5,five_seed_two_source_mean_ndcg5,selected,training_rows,validation_rows
HM+P,attack_flow,ctid,44,100,0.9,0.11674884205975214,0.08786487902391679,0,109,263
HM+P,attack_flow,ctid,44,100,1.0,0.11499458855420333,0.08983011852175946,0,109,263
HM+P,attack_flow,ctid,45,20,0.0,0.09846050989439702,0.12909526090771803,1,109,263
HM+P,attack_flow,ctid,45,20,0.1,0.09612745364383546,0.11477009566858005,0,109,263
HM+P,attack_flow,ctid,45,20,0.2,0.09341147831266461,0.11217668910597807,0,109,263
HM+P,attack_flow,ctid,45,20,0.3,0.09756386619200255,0.10725866191130178,0,109,263
HM+P,attack_flow,ctid,45,20,0.4,0.10544647201272819,0.10098382971523823,0,109,263
HM+P,attack_flow,ctid,45,20,0.5,0.10564804320170336,0.08942598133122305,0,109,263
HM+P,attack_flow,ctid,45,20,0.6,0.11434162658246512,0.09250733668308656,0,109,263
HM+P,attack_flow,ctid,45,20,0.7,0.11995505005598969,0.09502037451407179,0,109,263
HM+P,attack_flow,ctid,45,20,0.8,0.12030639027206233,0.09469445477690416,0,109,263
HM+P,attack_flow,ctid,45,20,0.9,0.12968082105273057,0.09350694453086697,0,109,263
HM+P,attack_flow,ctid,45,20,1.0,0.13540155406292034,0.0947681944091113,0,109,263
HM+P,attack_flow,ctid,45,40,0.0,0.09846050989439702,0.12909526090771803,0,109,263
HM+P,attack_flow,ctid,45,40,0.1,0.09697838455162697,0.11619249076744476,0,109,263
HM+P,attack_flow,ctid,45,40,0.2,0.09660988303475847,0.115472849972629,0,109,263
HM+P,attack_flow,ctid,45,40,0.3,0.0966873370294929,0.11397470061997594,0,109,263
HM+P,attack_flow,ctid,45,40,0.4,0.10547313321664123,0.10435911209793731,0,109,263
HM+P,attack_flow,ctid,45,40,0.5,0.10887512401155061,0.09907965641685987,0,109,263
HM+P,attack_flow,ctid,45,40,0.6,0.11709175742726755,0.09653660114184795,0,109,263
HM+P,attack_flow,ctid,45,40,0.7,0.1216098070420278,0.09563632794812585,0,109,263
HM+P,attack_flow,ctid,45,40,0.8,0.12262888769240421,0.09563792670497569,0,109,263
HM+P,attack_flow,ctid,45,40,0.9,0.12374290832844351,0.09596477820154072,0,109,263
HM+P,attack_flow,ctid,45,40,1.0,0.1219277415460801,0.09770431965375566,0,109,263
HM+P,attack_flow,ctid,45,60,0.0,0.09846050989439702,0.12909526090771803,0,109,263
HM+P,attack_flow,ctid,45,60,0.1,0.09693249481917672,0.11540829688216661,0,109,263
HM+P,attack_flow,ctid,45,60,0.2,0.09664338320869023,0.11472569698740938,0,109,263
HM+P,attack_flow,ctid,45,60,0.3,0.09578985925723488,0.11262191339304808,0,109,263
HM+P,attack_flow,ctid,45,60,0.4,0.10352349787636113,0.10634138048680505,0,109,263
HM+P,attack_flow,ctid,45,60,0.5,0.11400066106938873,0.10118453657914903,0,109,263
HM+P,attack_flow,ctid,45,60,0.6,0.1188628542905065,0.09277659685383194,0,109,263
HM+P,attack_flow,ctid,45,60,0.7,0.12738991416690765,0.09214466941657719,0,109,263
HM+P,attack_flow,ctid,45,60,0.8,0.1272168030599813,0.0920412052049993,0,109,263
HM+P,attack_flow,ctid,45,60,0.9,0.13098061796061913,0.09064970463728131,0,109,263
HM+P,attack_flow,ctid,45,60,1.0,0.1354946976810448,0.0914503383348435,0,109,263
HM+P,attack_flow,ctid,45,80,0.0,0.09846050989439702,0.12909526090771803,0,109,263
HM+P,attack_flow,ctid,45,80,0.1,0.0967804711301669,0.11552790343123809,0,109,263
HM+P,attack_flow,ctid,45,80,0.2,0.09593460523850084,0.11403353974475358,0,109,263
HM+P,attack_flow,ctid,45,80,0.3,0.09486333364925266,0.11226162186915496,0,109,263
HM+P,attack_flow,ctid,45,80,0.4,0.09345840593696417,0.10752085147335119,0,109,263
HM+P,attack_flow,ctid,45,80,0.5,0.10239875320329195,0.10170354010075278,0,109,263
HM+P,attack_flow,ctid,45,80,0.6,0.1048256629223353,0.09226177839234292,0,109,263
HM+P,attack_flow,ctid,45,80,0.7,0.10793725000315506,0.0873343583672137,0,109,263
HM+P,attack_flow,ctid,45,80,0.8,0.10756798261977092,0.08761810120667297,0,109,263
HM+P,attack_flow,ctid,45,80,0.9,0.11343885198036467,0.08839473325475976,0,109,263
HM+P,attack_flow,ctid,45,80,1.0,0.11772130156612796,0.08886070868361154,0,109,263
HM+P,attack_flow,ctid,45,100,0.0,0.09846050989439702,0.12909526090771803,0,109,263
HM+P,attack_flow,ctid,45,100,0.1,0.09684575860306593,0.11637248892859857,0,109,263
HM+P,attack_flow,ctid,45,100,0.2,0.09495598229246795,0.11493940206444635,0,109,263
HM+P,attack_flow,ctid,45,100,0.3,0.09289361246383673,0.11323336152389833,0,109,263
HM+P,attack_flow,ctid,45,100,0.4,0.09670392780179646,0.10781646636953066,0,109,263
HM+P,attack_flow,ctid,45,100,0.5,0.10571189942097747,0.10183834940515804,0,109,263
HM+P,attack_flow,ctid,45,100,0.6,0.10983647827671014,0.09132822717983281,0,109,263
HM+P,attack_flow,ctid,45,100,0.7,0.11215751888258174,0.08964461512793773,0,109,263
HM+P,attack_flow,ctid,45,100,0.8,0.11135295155168827,0.08815867154178511,0,109,263
HM+P,attack_flow,ctid,45,100,0.9,0.11344584834209573,0.08786487902391679,0,109,263
HM+P,attack_flow,ctid,45,100,1.0,0.11612922475756178,0.08983011852175946,0,109,263
HM+P,attack_flow,ctid,46,20,0.0,0.1025195286050203,0.12909526090771803,1,109,263
HM+P,attack_flow,ctid,46,20,0.1,0.1005559276493672,0.11477009566858005,0,109,263
HM+P,attack_flow,ctid,46,20,0.2,0.09446293633067472,0.11217668910597807,0,109,263
HM+P,attack_flow,ctid,46,20,0.3,0.09883163335571872,0.10725866191130178,0,109,263
HM+P,attack_flow,ctid,46,20,0.4,0.11041761712551193,0.10098382971523823,0,109,263
HM+P,attack_flow,ctid,46,20,0.5,0.1138826655285334,0.08942598133122305,0,109,263
HM+P,attack_flow,ctid,46,20,0.6,0.11275554615633776,0.09250733668308656,0,109,263
HM+P,attack_flow,ctid,46,20,0.7,0.1122898900054583,0.09502037451407179,0,109,263
HM+P,attack_flow,ctid,46,20,0.8,0.10979710669975436,0.09469445477690416,0,109,263
HM+P,attack_flow,ctid,46,20,0.9,0.11267532392317428,0.09350694453086697,0,109,263
HM+P,attack_flow,ctid,46,20,1.0,0.12434397430676272,0.0947681944091113,0,109,263
HM+P,attack_flow,ctid,46,40,0.0,0.1025195286050203,0.12909526090771803,0,109,263
HM+P,attack_flow,ctid,46,40,0.1,0.10166028917702755,0.11619249076744476,0,109,263
HM+P,attack_flow,ctid,46,40,0.2,0.10196322401142369,0.115472849972629,0,109,263
HM+P,attack_flow,ctid,46,40,0.3,0.10088327273869016,0.11397470061997594,0,109,263
HM+P,attack_flow,ctid,46,40,0.4,0.10758912602197998,0.10435911209793731,0,109,263
HM+P,attack_flow,ctid,46,40,0.5,0.11618152074025812,0.09907965641685987,0,109,263
HM+P,attack_flow,ctid,46,40,0.6,0.11369756228600361,0.09653660114184795,0,109,263
HM+P,attack_flow,ctid,46,40,0.7,0.11376736136911289,0.09563632794812585,0,109,263
HM+P,attack_flow,ctid,46,40,0.8,0.11392837125556776,0.09563792670497569,0,109,263
HM+P,attack_flow,ctid,46,40,0.9,0.116386009002302,0.09596477820154072,0,109,263
HM+P,attack_flow,ctid,46,40,1.0,0.12062523590572667,0.09770431965375566,0,109,263
HM+P,attack_flow,ctid,46,60,0.0,0.1025195286050203,0.12909526090771803,0,109,263
HM+P,attack_flow,ctid,46,60,0.1,0.10232680740238005,0.11540829688216661,0,109,263
HM+P,attack_flow,ctid,46,60,0.2,0.10187611103462284,0.11472569698740938,0,109,263
HM+P,attack_flow,ctid,46,60,0.3,0.09931336447912262,0.11262191339304808,0,109,263
HM+P,attack_flow,ctid,46,60,0.4,0.1031241483510144,0.10634138048680505,0,109,263
