architecture,held_out_source,inner_training_source,inner_validation_source,learning_rate,seed,epoch,campaign_macro_ndcg5,five_seed_two_source_mean_ndcg5,selected,training_rows,validation_rows
LSTM,stockpile,ctid,attack_flow,0.001,42,40,0.14315411340297823,0.17397064161134906,0,263,412
LSTM,stockpile,ctid,attack_flow,0.001,42,60,0.10341756386581312,0.15072808130711463,0,263,412
LSTM,stockpile,ctid,attack_flow,0.001,42,80,0.09945421076443668,0.13640089831423946,0,263,412
LSTM,stockpile,ctid,attack_flow,0.001,42,100,0.08710767715501018,0.13544120277145727,0,263,412
LSTM,stockpile,ctid,attack_flow,0.001,43,20,0.18775965486452256,0.1956216489801801,0,263,412
LSTM,stockpile,ctid,attack_flow,0.001,43,40,0.15476396637484513,0.17397064161134906,0,263,412
LSTM,stockpile,ctid,attack_flow,0.001,43,60,0.14105264649492363,0.15072808130711463,0,263,412
LSTM,stockpile,ctid,attack_flow,0.001,43,80,0.11747506983014862,0.13640089831423946,0,263,412
LSTM,stockpile,ctid,attack_flow,0.001,43,100,0.11569404263272998,0.13544120277145727,0,263,412
LSTM,stockpile,ctid,attack_flow,0.001,44,20,0.17823033986404976,0.1956216489801801,0,263,412
LSTM,stockpile,ctid,attack_flow,0.001,44,40,0.13090436638055825,0.17397064161134906,0,263,412
LSTM,stockpile,ctid,attack_flow,0.001,44,60,0.15556094636486098,0.15072808130711463,0,263,412
LSTM,stockpile,ctid,attack_flow,0.001,44,80,0.13902071065237642,0.13640089831423946,0,263,412
LSTM,stockpile,ctid,attack_flow,0.001,44,100,0.13107672012665286,0.13544120277145727,0,263,412
LSTM,stockpile,ctid,attack_flow,0.001,45,20,0.1863934490675221,0.1956216489801801,0,263,412
LSTM,stockpile,ctid,attack_flow,0.001,45,40,0.16263491095823202,0.17397064161134906,0,263,412
LSTM,stockpile,ctid,attack_flow,0.001,45,60,0.11082820124342291,0.15072808130711463,0,263,412
LSTM,stockpile,ctid,attack_flow,0.001,45,80,0.11465670869858821,0.13640089831423946,0,263,412
LSTM,stockpile,ctid,attack_flow,0.001,45,100,0.10222650120989246,0.13544120277145727,0,263,412
LSTM,stockpile,ctid,attack_flow,0.001,46,20,0.17036398747303755,0.1956216489801801,0,263,412
LSTM,stockpile,ctid,attack_flow,0.001,46,40,0.15413462123802768,0.17397064161134906,0,263,412
LSTM,stockpile,ctid,attack_flow,0.001,46,60,0.12344085006853435,0.15072808130711463,0,263,412
LSTM,stockpile,ctid,attack_flow,0.001,46,80,0.09083004413727566,0.13640089831423946,0,263,412
LSTM,stockpile,ctid,attack_flow,0.001,46,100,0.1064484289461905,0.13544120277145727,0,263,412
LSTM,stockpile,attack_flow,ctid,0.0003,42,20,0.2088427167725845,0.19487278497543137,0,412,263
LSTM,stockpile,attack_flow,ctid,0.0003,42,40,0.2088427167725845,0.19943656436483786,1,412,263
LSTM,stockpile,attack_flow,ctid,0.0003,42,60,0.2088427167725845,0.19493852798532943,0,412,263
LSTM,stockpile,attack_flow,ctid,0.0003,42,80,0.17158835075450168,0.1878233961862376,0,412,263
LSTM,stockpile,attack_flow,ctid,0.0003,42,100,0.20892960480689396,0.1872847001785163,0,412,263
LSTM,stockpile,attack_flow,ctid,0.0003,43,20,0.17269821842312402,0.19487278497543137,0,412,263
LSTM,stockpile,attack_flow,ctid,0.0003,43,40,0.21095103466002624,0.19943656436483786,1,412,263
LSTM,stockpile,attack_flow,ctid,0.0003,43,60,0.21187759906328515,0.19493852798532943,0,412,263
