held_out_source,method,stratum,group,rows,campaigns,inferentially_eligible,campaign_macro_ndcg5,campaign_macro_hit5,campaign_macro_precision5,campaign_macro_recall5
attack_flow,T,target_label_visibility,mixed,172,32,1,0.14050723356237171,0.4369701479076479,0.09114402958152959,0.16134184102934102
attack_flow,T,text_length,ge40,379,35,1,0.1741278962775199,0.4472398268594642,0.102067665220916,0.21230089078939143
attack_flow,T,text_length,lt40,33,18,1,0.24833588676735602,0.6111111111111112,0.1362962962962963,0.2904320987654321
attack_flow,T,target_size,1,37,34,1,0.16823823256638984,0.3382352941176471,0.06764705882352942,0.3382352941176471
attack_flow,T,target_size,2,84,34,1,0.19583884192639567,0.46093514328808444,0.10003016591251886,0.25007541478129713
attack_flow,T,target_size,3,291,35,1,0.17771505253051165,0.504087753982712,0.11783339349725906,0.1963889891620984
stockpile,A0,transition_visibility,all_seen,31,20,1,0.0711585158914047,0.2,0.04,0.1392857142857143
stockpile,A0,transition_visibility,all_unseen,36,17,1,0.06276362400685376,0.18382352941176472,0.03676470588235294,0.11519607843137254
stockpile,A0,transition_visibility,mixed,42,17,1,0.08656819216974333,0.3303921568627451,0.06607843137254901,0.13333333333333333
stockpile,A0,target_label_visibility,all_seen,100,27,1,0.06529737134591827,0.20642135642135642,0.041284271284271284,0.1148027898027898
stockpile,A0,target_label_visibility,all_unseen,1,1,0,0.0,0.0,0.0,0.0
stockpile,A0,target_label_visibility,mixed,8,3,0,0.0,0.0,0.0,0.0
stockpile,A0,text_length,ge40,42,21,1,0.07596411328991201,0.19444444444444442,0.038888888888888896,0.14682539682539683
stockpile,A0,text_length,lt40,67,17,1,0.08801521816815447,0.30490196078431375,0.06098039215686275,0.14862278244631186
stockpile,A0,target_size,1,29,24,1,0.10673359631853545,0.20833333333333334,0.041666666666666664,0.20833333333333334
stockpile,A0,target_size,2,40,20,1,0.08739472866019848,0.2925,0.05850000000000001,0.14625
stockpile,A0,target_size,3,40,12,1,0.10440358876321872,0.47222222222222227,0.09444444444444444,0.1574074074074074
stockpile,CO,transition_visibility,all_seen,31,20,1,0.02153382790366965,0.05,0.01,0.05
stockpile,CO,transition_visibility,all_unseen,36,17,1,0.0,0.0,0.0,0.0
stockpile,CO,transition_visibility,mixed,42,17,1,0.0,0.0,0.0,0.0
stockpile,CO,target_label_visibility,all_seen,100,27,1,0.007975491816173946,0.018518518518518517,0.003703703703703704,0.018518518518518517
stockpile,CO,target_label_visibility,all_unseen,1,1,0,0.0,0.0,0.0,0.0
stockpile,CO,target_label_visibility,mixed,8,3,0,0.0,0.0,0.0,0.0
stockpile,CO,text_length,ge40,42,21,1,0.010254203763652216,0.023809523809523808,0.004761904761904762,0.023809523809523808
